rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
4338,3.0815,11.198,311.34,-0.72601,3.6869,16.024,0.071626,-0.11047,-0.34258,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4340,2.9624,11.239,312.3,-0.72513,3.6835,16.036,0.071238,-0.11082,-0.34247,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4342,2.8527,11.277,313.23,-0.72565,3.6805,16.044,0.070725,-0.11119,-0.3424,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4344,2.751,11.312,314.14,-0.72208,3.6773,16.047,0.070319,-0.11156,-0.34225,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4346,2.7748,11.552,313.66,-0.72123,3.6797,16.062,0.070157,-0.11184,-0.34212,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4348,2.7915,11.764,313.2,-0.71771,3.677,16.047,0.070095,-0.11191,-0.34198,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4350,2.8049,11.949,312.77,-0.72372,3.6754,16.049,0.069702,-0.11209,-0.34198,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4352,2.816,12.111,312.36,-0.73088,3.6759,16.053,0.069487,-0.11211,-0.34207,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4354,2.8228,12.253,311.97,-0.73177,3.6769,16.058,0.069542,-0.11195,-0.34222,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4356,2.8239,12.378,311.6,-0.72703,3.6805,16.059,0.069854,-0.11176,-0.3423,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4358,2.8219,12.488,311.25,-0.72724,3.6831,16.055,0.070019,-0.11166,-0.34241,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4360,2.8198,12.582,310.92,-0.73569,3.6817,16.072,0.070425,-0.11132,-0.3424,-0.06322,-0.0899,-0.01276,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4362,2.7091,12.566,311.01,-0.73526,3.6809,16.077,0.070792,-0.1111,-0.34238,-0.04756,-0.05278,-0.02117,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4364,2.6098,12.553,311.1,-0.73148,3.6821,16.073,0.070908,-0.11095,-0.34233,-0.04756,-0.05278,-0.02117,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4366,2.5213,12.544,311.17,-0.73012,3.6816,16.068,0.070712,-0.11096,-0.3423,-0.04756,-0.05278,-0.02117,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4368,2.4422,12.537,311.25,-0.72807,3.6819,16.072,0.070498,-0.11104,-0.34234,-0.04756,-0.05278,-0.02117,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4370,2.3733,12.532,311.32,-0.73135,3.684,16.071,0.070605,-0.11113,-0.34235,-0.04756,-0.05278,-0.02117,1.25,1.25,1.25,1.25,0,0,0,0,0,0
